X,Y,OBJECTID,Facility_ID,Facility_Name,Facility_Type_Code,Facility_Type,Map_Symbol,Facility_Type_Detail,Facility_Type_Abbreviation,Licensed_Beds_Total,Telephone,County,Address_Full,latitude,longitude,CDPHE_HFEMS_Licensed,Operating_Status,Date_Data_Updated,Source
-105.004562,39.552635,4390,01G933,UCHEALTH HIGHLANDS RANCH HOSPITAL,011,Hospital,Hospital,Short Term Hospital,HOSP-ACU,139,720-516-1000,DOUGLAS,"1500 PARK CENTRAL DR, HIGHLANDS RANCH, CO 80129-6688",39.552635,-105.004562,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.075699,38.975739,4393,01K180,UCHEALTH PIKES PEAK REGIONAL HOSPITAL,014,Hospital,Hospital,Critical Access Hospital,HOSP-CAH,15,719-374-6060,TELLER,"16420 W US HIGHWAY 24, WOODLAND PARK, CO 80863-8760",38.975739,-105.075699,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-106.814468,40.462456,4394,010860,UCHEALTH YAMPA VALLEY MEDICAL CENTER,011,Hospital,Hospital,Short Term Hospital,HOSP-ACU,39,970-879-1322,ROUTT,"1024 CENTRAL PARK DR, STEAMBOAT SPRINGS, CO 80487",40.462456,-106.814468,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.758148,38.966019,4415,01A456,UNIVERSITY OF COLORADO HEALTH AT MEMORIAL HOSPITAL NORTH,01B,Hospital,Hospital,Licensed Only General Hospital,LICGEN,146,719-365-5000,EL PASO,"4050 BRIARGATE PKWY, COLORADO SPRINGS, CO 80920-7815",38.966019,-104.758148,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.800003,38.838867,4416,010542,UNIVERSITY OF COLORADO HEALTH MEMORIAL HOSPITAL CENTRAL,011,Hospital,Hospital,Short Term Hospital,HOSP-ACU,583,719-365-5000,EL PASO,"1400 E BOULDER ST, COLORADO SPRINGS, CO 80909-5533",38.838867,-104.800003,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.840729,39.741417,4417,TC0003,UNIVERSITY OF COLORADO HOSPITAL ANSCHUTZ INPATIENT,01T,Hospital,Hospital,Transplant Hospital,TH,0,720-848-7800,ADAMS,"12605 EAST 16TH AVENUE, AURORA, CO 80045",39.741417,-104.840729,no,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.840729,39.741417,4418,010432,UNIVERSITY OF COLORADO HOSPITAL AUTHORITY,011,Hospital,Hospital,Short Term Hospital,HOSP-ACU,894,720-848-0000,ADAMS,"12605 E 16TH AVE, AURORA, CO 80045-2545",39.741417,-104.840729,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.97467,39.747013,4424,18ZXYT,UPTOWN COMMUNITY HEALTH CENTER INC,S65,Community Clinic,Clinic,Community Clinic-Voluntary,CCVOL,0,303-318-2505,DENVER,"1960 N OGDEN ST STE 300, DENVER, CO 80218",39.747013,-104.97467,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-108.54081,39.077271,4434,CO36SI,V A HOSPITAL,019,Hospital,Hospital,Non-Participating Hospital - Obsolete,HOSP-NP,0,970-000-0000,MESA,"2121 NORTH AVE, GRAND JUNCTION, CO 81501",39.077271,-108.54081,no,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-103.131525,38.074645,4435,COM0I4,V A HOSPITAL,019,Hospital,Hospital,Non-Participating Hospital - Obsolete,HOSP-NP,0,,BENT,"*, FORT LYON, CO 81038",38.074645,-103.131525,no,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.935181,39.732353,4436,COPSL8,V A HOSPITAL,019,Hospital,Hospital,Non-Participating Hospital - Obsolete,HOSP-NP,0,303-000-0000,DENVER,"1055 CLERMONT ST, DENVER, CO 80220",39.732353,-104.935181,no,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-106.406881,39.638063,4450,CO2JMH,VAIL CLINIC,019,Hospital,Hospital,Non-Participating Hospital - Obsolete,HOSP-NP,0,970-000-0000,EAGLE,"POST OFFICE BOX 36, VAIL, CO 81657",39.638063,-106.406881,no,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-106.381706,39.642876,4451,010911,VAIL HEALTH HOSPITAL,011,Hospital,Hospital,Short Term Hospital,HOSP-ACU,56,970-476-2451,EAGLE,"181 W MEADOW DR, VAIL, CO 81657-5242",39.642876,-106.381706,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-107.322723,39.53278,4467,010810,VALLEY VIEW HOSPITAL ASSOCIATION,011,Hospital,Hospital,Short Term Hospital,HOSP-ACU,78,970-945-6535,GARFIELD,"1906 BLAKE AVE, GLENWOOD SPRINGS, CO 81601-4259",39.53278,-107.322723,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.979378,39.850128,4494,010427,VIBRA HOSPITAL OF DENVER,015,Hospital,Hospital,Long Term Hospital,HOSP-LT,54,303-288-3000,ADAMS,"8451 PEARL ST, THORNTON, CO 80229-4801",39.850128,-104.979378,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-102.784531,38.480553,4565,010214,WEISBROD MEMORIAL COUNTY HOSPITAL,014,Hospital,Hospital,Critical Access Hospital,HOSP-CAH,25,719-438-5401,KIOWA,"1208 LUTHER ST, EADS, CO 81036",38.480553,-102.784531,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.996719,39.904388,4583,01CEYS,WEST PINES BEHAVIORAL HOSPITAL,012,Hospital,Hospital,Psychiatric Hospital,HOSP-PSY,144,615-861-6000,ADAMS,"11455 HURON ST, WESTMINSTER, CO 80234",39.904388,-104.996719,yes,PENDING (CLOSING OR OPENING),2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-108.518692,39.078091,4584,01U328,"WEST SPRINGS HOSPITAL, INC.",012,Hospital,Hospital,Psychiatric Hospital,HOSP-PSY,48,970-683-7085,MESA,"515 28 3/4 RD , GRAND JUNCTION, CO 81501-5016",39.078091,-108.518692,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-102.234657,40.075459,4632,010160,WRAY COMMUNITY DISTRICT HOSPITAL,014,Hospital,Hospital,Critical Access Hospital,HOSP-CAH,15,970-332-4811,YUMA,"1017 W 7TH ST, WRAY, CO 80758-1420",40.075459,-102.234657,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.623146,38.278858,4648,1806LB,YOUTHFUL OFFENDER SYSTEM,S63,Community Clinic,Clinic,Community Clinic-DOC,CCDOC,0,719-583-5579,PUEBLO,"1330 W 13TH STREET, PUEBLO, CO 81003",38.278858,-104.623146,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-102.736633,40.1185,4655,010127,YUMA DISTRICT HOSPITAL,014,Hospital,Hospital,Critical Access Hospital,HOSP-CAH,15,970-848-5405,YUMA,"1000 W 8TH AVE, YUMA, CO 80759-2641",40.1185,-102.736633,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
